ime,visina,vrsta,ogledi,mesto_priljubljenosti,stevilo_slik,stevilo_poti,stevilo_gps_sledi,stevilo_vpisov_v_vpisni_knjigi
Rušni vrh,1786,vrh,209730,1344,3,9,0,
Rž,2538,vrh,492174,316,14,4,0,3
Skutnik /Monte Guarda,1721,vrh,386912,675,1,1,0,
Skutnik/Torre Guarda,1860,vrh,319083,921,13,1,0,
Slap Beri,454,slap,231917,1257,0,1,0,
Slap Boka,680,slap,515627,259,10,2,0,
Slap Mostnice,773,slap,9420,2014,4,1,0,
Slap Parabola,700,"slap, jezero",400439,619,4,1,0,
Slap Peričnik - spodnji slap,800,slap,374378,714,17,3,0,1
Slap Peričnik - zgornji slap,850,slap,389134,666,8,1,0,2
Slap Savica,794,"slap, jezero",406212,601,5,1,0,
Slap Slatenik,750,slap,275199,1091,2,1,0,
Slap Sopota (Soupat),400,slap,343991,830,4,1,0,1
Slap Suha,950,slap,291201,1032,3,1,0,
Slap Virje,400,"slap, jezero",413622,579,4,1,0,
Slap Zaročenca,930,slap,309095,961,24,0,0,
Slap Šum v Blejskem Vintgarju,520,slap,8110,2027,8,1,0,
Slapovi v Kotu,1050,slap,1170,2440,5,1,0,
Slatna,2077,vrh,417760,565,2,3,2,1
Slatnik (jugovzhodni vrh),1597,vrh,5404,2074,3,5,0,3
Slatnik (severozahodni vrh),1609,vrh,458540,426,9,5,0,
Sleme,2077,vrh,564395,153,5,3,1,2
Slemenova špica,1911,"vrh, planina",747644,35,11,6,1,8
Snežna jama na Mežakli,1130,,314307,941,4,1,0,
Sovna glava,1750,vrh,393672,652,4,5,0,
Speleološki bivak Modonutti - Savoia,1908,"bivak, sedlo",219586,1305,4,3,0,
Spodnja Vrbanova špica,2299,vrh,402929,613,10,1,0,1
Spodnje Kriško jezero,1880,jezero,441525,474,5,1,0,
Spodnje Mangartsko jezero,924,"koča, jezero",3912,2127,12,3,0,
Spodnji Goreljek (Pokljuka),1222,planina,3430,2154,4,1,0,
Spodnji Martuljkov slap,850,slap,321773,914,1,1,0,1
Spodnji Rokav,2500,vrh,341893,836,1,1,0,
Spodnji Stenar,2356,vrh,316272,933,2,1,0,2
Spominsko obeležje Aleš Kunaver,660,,3046,2177,3,1,0,
Srednja Ponca,2228,vrh,425608,537,5,2,1,
Srednji Selišnik,1890,vrh,323708,907,1,1,1,
Srednji Vogel,2226,vrh,332854,876,1,2,0,
Srednji vrh (na Matajurju),1320,vrh,907,2498,3,1,0,
Srednji vrh,2032,vrh,340029,847,4,2,2,
Stadorski Orliči,1782,vrh,211425,1340,5,1,0,
Stara koča na Kaninu,1814,,2317,2238,6,1,0,
Stenar,2501,vrh,639714,78,17,5,0,2
Stol (Julijske Alpe),1673,vrh,571437,145,12,4,0,6
Straža ,646,vrh,345166,828,3,1,0,
Strma peč / Monte Cimone,2380,vrh,421531,550,11,2,0,
Strug,2265,vrh,388057,672,3,1,0,
Studor,1002,"vrh, jezero, planina",10790,2006,3,3,0,
Studorski preval,1892,sedlo,443964,466,2,1,0,6
Suha Rodica (Novi vrh),1944,vrh,244770,1206,3,4,0,1
Suhi vrh,2109,vrh,383835,683,3,1,0,
Sv. Peter in Pavel (Perati),812,cerkev,531,2611,3,1,0,
Sveta Katarina na Homu,634,cerkev,6701,2050,4,2,0,
Sveta Marjeta pod Stolom,973,cerkev,251936,1181,1,1,0,1
Svete Višarje / Monte Lussari,1766,"vrh, koča, cerkev",629485,87,12,4,0,3
Sveti Janez Krstnik (Ribčev Laz),532,"jezero, cerkev",3620,2145,5,1,0,
Sveti Lenart (Bača pri Podbrdu),751,cerkev,182296,1452,4,1,0,
Sveti Lenart (Bodešče),485,cerkev,193419,1407,5,2,0,
Svinjak,1653,vrh,565689,150,7,1,0,3
Svinska planina,1214,planina,304214,981,3,1,0,
Teme (Hribarice),2495,vrh,360710,767,3,2,0,1
Teme,2136,vrh,285272,1056,5,1,0,
Tičarjev dom na Vršiču,1618,koča,470251,377,7,3,0,8
Tolminska korita,180,,430481,518,24,0,0,
Tolminski Kuk,2085,vrh,536554,207,11,10,0,1
Tolminski Migovec,1868,vrh,425544,539,8,1,0,4
Tonkina koča na Vršiču,1380,koča,15649,1989,3,1,0,1
Tonovcov grad pri Kobaridu,500,vrh,405637,603,3,1,0,1
Tosc,2275,vrh,642642,74,16,5,4,5
Travnik (pri Mojstrovkah),2379,vrh,459290,421,5,2,0,1
Travnik,2252,vrh,402457,614,7,1,1,
Triglav,2864,"vrh, bivak",1421929,1,42,27,6,22
Triglavski dom na Kredarici,2515,"vrh, koča, cerkev",665421,61,16,9,2,16
Turn (nad Bohinjsko Belo),1249,vrh,2610,2213,4,5,0,
Velika Baba (Kanin),2148,vrh,11680,2002,7,1,0,
Velika Baba,2016,vrh,526142,233,9,4,1,1
Velika Bavha / Monte Robon,1980,vrh,315371,937,3,3,0,
Velika Glava,1883,vrh,117,2840,2,2,0,
Velika korita Soče,480,,405249,606,8,1,0,1
Velika Martuljška Ponca,2602,vrh,502348,292,5,1,1,
Velika Mojstrovka,2366,vrh,578121,139,8,1,1,6
Velika Montura,1958,vrh,5320,2078,9,2,0,
Velika Tičarica,2091,vrh,507788,277,9,3,0,1
Velika Zelnarica,2320,vrh,490493,322,9,4,0,2
Velika Črnelska špica,2332,vrh,393768,650,7,3,0,
Veliki Babanski Skedenj,2121,vrh,12450,2000,9,1,1,
Veliki Draški vrh,2243,vrh,598785,113,10,10,3,4
Veliki Karman / Monte Chiampon,1713,,257770,1159,2,3,0,
Veliki Lemež,2042,vrh,8000,2030,13,2,0,
Veliki Nabojs / Monte Nabois grande,2313,vrh,393742,651,6,2,0,1
Veliki Oltar,2621,vrh,555382,164,5,2,1,
Veliki Ozebnik,2480,vrh,442099,472,4,4,0,2
Veliki Pršivec,2056,vrh,426187,534,6,1,0,
Veliki Selišnik,1952,vrh,360873,766,5,1,0,
Veliki slap Kozjak,250,"slap, jezero",436651,496,3,1,0,1
Veliki vrh (Polovnik),1768,,368094,741,5,1,0,
Veliki Šmohor,1944,vrh,395299,646,2,2,0,
Veliko Špičje,2398,vrh,537402,205,7,7,1,2
Velo polje,1680,planina,460442,417,8,6,0,
Vernar,2225,vrh,471914,374,9,7,0,1
